Datetime,"('Close', '^RUI')","('High', '^RUI')","('Low', '^RUI')","('Open', '^RUI')","('Volume', '^RUI')"
2025-12-01 14:30:00+00:00,3716.798095703125,3727.47265625,3709.559326171875,3724.851318359375,0
2025-12-01 15:30:00+00:00,3723.897705078125,3727.46630859375,3711.521240234375,3716.637939453125,0
2025-12-01 16:30:00+00:00,3728.767578125,3731.2685546875,3723.86279296875,3723.86279296875,0
2025-12-01 17:30:00+00:00,3731.485107421875,3733.151123046875,3728.154296875,3728.940185546875,0
2025-12-01 18:30:00+00:00,3721.335205078125,3734.4619140625,3721.155029296875,3731.490234375,0
2025-12-01 19:30:00+00:00,3721.605712890625,3723.624755859375,3717.78759765625,3721.36474609375,0
2025-12-01 20:30:00+00:00,3716.609375,3723.0068359375,3714.030029296875,3721.644775390625,0
2025-12-02 14:30:00+00:00,3726.358154296875,3735.38037109375,3723.78564453125,3723.78564453125,0
2025-12-02 15:30:00+00:00,3717.3583984375,3737.61572265625,3716.20849609375,3726.243896484375,0
2025-12-02 16:30:00+00:00,3730.743408203125,3731.413818359375,3714.039306640625,3717.339111328125,0
2025-12-02 17:30:00+00:00,3723.290283203125,3732.425537109375,3717.736328125,3730.67724609375,0
2025-12-02 18:30:00+00:00,3724.84814453125,3727.707275390625,3719.30859375,3723.25634765625,0
2025-12-02 19:30:00+00:00,3730.700439453125,3731.7587890625,3724.6982421875,3724.83447265625,0
2025-12-02 20:30:00+00:00,3725.630859375,3732.341552734375,3724.53564453125,3730.68603515625,0
2025-12-03 14:30:00+00:00,3726.635009765625,3729.65478515625,3716.33544921875,3724.42919921875,0
2025-12-03 15:30:00+00:00,3731.02294921875,3733.64892578125,3725.022216796875,3726.619384765625,0
2025-12-03 16:30:00+00:00,3737.2431640625,3737.815673828125,3727.138916015625,3731.0283203125,0
2025-12-03 17:30:00+00:00,3739.083251953125,3740.417724609375,3736.06201171875,3737.300048828125,0
2025-12-03 18:30:00+00:00,3741.340087890625,3742.208251953125,3738.803955078125,3739.203369140625,0
2025-12-03 19:30:00+00:00,3742.8798828125,3744.553955078125,3740.809814453125,3741.419921875,0
2025-12-03 20:30:00+00:00,3738.68359375,3743.007568359375,3738.041259765625,3742.727294921875,0
2025-12-04 14:30:00+00:00,3737.605224609375,3745.798828125,3730.56982421875,3742.1533203125,0
2025-12-04 15:30:00+00:00,3736.796875,3742.639404296875,3731.0810546875,3737.685302734375,0
2025-12-04 16:30:00+00:00,3740.314697265625,3743.20263671875,3734.263916015625,3736.672607421875,0
2025-12-04 17:30:00+00:00,3744.243896484375,3744.314453125,3738.275146484375,3740.24462890625,0
2025-12-04 18:30:00+00:00,3730.76806640625,3744.515625,3726.876708984375,3744.1630859375,0
2025-12-04 19:30:00+00:00,3733.7841796875,3739.627197265625,3730.231689453125,3730.769775390625,0
2025-12-04 20:30:00+00:00,3741.502197265625,3741.50439453125,3733.618408203125,3733.7998046875,0
2025-12-05 14:30:00+00:00,3760.525146484375,3762.99560546875,3743.385986328125,3743.385986328125,0
2025-12-05 15:30:00+00:00,3750.442138671875,3763.134033203125,3749.530517578125,3760.455078125,0
2025-12-05 16:30:00+00:00,3746.959716796875,3753.415283203125,3746.15771484375,3750.454345703125,0
2025-12-05 17:30:00+00:00,3753.094482421875,3753.86572265625,3743.027587890625,3746.92578125,0
2025-12-05 18:30:00+00:00,3749.7060546875,3754.99072265625,3748.48876953125,3753.1025390625,0
2025-12-05 19:30:00+00:00,3749.841796875,3751.827880859375,3747.98876953125,3749.649169921875,0
2025-12-05 20:30:00+00:00,3749.15234375,3749.8525390625,3742.890869140625,3749.8525390625,0
2025-12-08 14:30:00+00:00,3741.35107421875,3753.386962890625,3738.233154296875,3746.56494140625,0
2025-12-08 15:30:00+00:00,3738.7021484375,3743.73583984375,3732.577880859375,3741.35791015625,0
2025-12-08 16:30:00+00:00,3731.463623046875,3738.9423828125,3729.65478515625,3738.6708984375,0
2025-12-08 17:30:00+00:00,3732.115478515625,3740.857421875,3731.279052734375,3731.476806640625,0
2025-12-08 18:30:00+00:00,3729.28076171875,3733.2041015625,3725.441162109375,3732.0234375,0
2025-12-08 19:30:00+00:00,3731.43408203125,3732.5078125,3728.97900390625,3729.216064453125,0
2025-12-08 20:30:00+00:00,3735.776123046875,3735.776123046875,3728.48486328125,3731.407958984375,0
2025-12-09 14:30:00+00:00,3740.01904296875,3743.513427734375,3731.234375,3732.861328125,0
2025-12-09 15:30:00+00:00,3743.5751953125,3745.961669921875,3736.63037109375,3739.6640625,0
2025-12-09 16:30:00+00:00,3742.207275390625,3746.04443359375,3740.383544921875,3743.30615234375,0
2025-12-09 17:30:00+00:00,3739.909423828125,3743.3037109375,3736.885986328125,3742.2373046875,0
2025-12-09 18:30:00+00:00,3737.09912109375,3740.43310546875,3735.518310546875,3739.973388671875,0
2025-12-09 19:30:00+00:00,3734.823486328125,3737.74560546875,3734.61767578125,3737.0849609375,0
2025-12-09 20:30:00+00:00,3731.730224609375,3735.833251953125,3730.444091796875,3734.821044921875,0
2025-12-10 14:30:00+00:00,3733.133544921875,3735.365478515625,3724.1875,3729.782958984375,0
2025-12-10 15:30:00+00:00,3738.2080078125,3738.43115234375,3725.830078125,3733.1044921875,0
2025-12-10 16:30:00+00:00,3734.494140625,3738.40087890625,3733.39794921875,3738.15869140625,0
2025-12-10 17:30:00+00:00,3733.104736328125,3739.224609375,3732.39013671875,3734.387451171875,0
2025-12-10 18:30:00+00:00,3739.343994140625,3748.0498046875,3730.8037109375,3733.14013671875,0
2025-12-10 19:30:00+00:00,3762.9326171875,3766.089111328125,3737.23828125,3739.746337890625,0
